word,sense,WelshSynset_1,WelshSynset_2,WelshSynset_3,WelshSynset_4,WelshSynset_5,WelshSynset_6,WelshSynset_7,WelshSynset_8,WelshSynset_9,WelshSynset_10,WelshSynset_11,WelshSynset_12,WelshSynset_13,WelshSynset_14,WelshSynset_15,WelshSynset_16,WelshSynset_17,WelshSynset_18,WelshSynset_19,WelshSynset_20,WelshSynset_21,WelshSynset_22,WelshSynset_23,WelshSynset_24,WelshSynset_25,WelshSynset_26,WelshSynset_27,WelshSynset_28,WelshSynset_29,WelshSynset_30,WelshSynset_31,WelshSynset_32,WelshSynset_33,WelshSynset_34,WelshSynset_35,WelshSynset_36,WelshSynset_37,WelshSynset_38,WelshSynset_39,WelshSynset_40,WelshSynset_41,WelshSynset_42,WelshSynset_43,WelshSynset_44,WelshSynset_45,WelshSynset_46,WelshSynset_47
diwedd,the end,diwedd , trangedigaeth , trancedigaeth , tranc , rhyle , rhemnant , remnant , pen.glo , marwolaeth , llygrwydd , llygriant , llygrant , llias , lleas , llaith , lladdiant , gorflaen , gorffen , golaith , gobed , dylaith , distrywiant , distrywiaeth , distrywiad , distrywedigaeth , distrywaeth , dinustr , dinistr , dilen , dilaith , dilain , diföed , difäedd , difethiant , difethdod , cyrchnod , col , cilyn , cilran , cilcyn , angau , anfadran , adwythder , addoed , aball,,
marwolaeth,death,marwolaeth , angau , trangedigaeth , trancedigaeth , tranc , rhyle , pen.glo , llygrwydd , llygriant , llygrant , llias , lleas , llaith , lladdiant , gorflaen , gorffen , golaith , dylaith , diwedd , distrywiant , distrywiaeth , distrywiad , distrywedigaeth , distrywaeth , dinustr , dinistr , dilen , dilaith , dilain , diföed , difäedd , difethiant , difethdod , anfadran , adwythder , addoed , aball,,,,,,,,,,
to,roof,to , toi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to,generation,hiliaeth , epiliad , cenhedlaeth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
llu,multitude,cyflwg , cant , bataliwn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teledu,television,telefision , teledu , telifision , teli , telefisiwn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aderyn,bird,potsyn , merch , dòl , doli , aderyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bryd,will,rhybuch , myn , ewyllysu , ewyllysio , ewyllysiaeth , ewyllys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oedfa,religious meeting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyfaill,friend,ffrind , ymgydnabyddiaeth , syportar , hoffwr , hoffddyn , gobeniad , cynheilwad , cynefindod , cyfaill , cydwybedydd , cwentans , caredigddyn , carddyn , camwr , anwylwr , adnabydd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
priodas,marriage,priodas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brwydr,battle,brwydr , trin , strygl , strin , padl , myd , mid , gwrial , glyw , ffeit , citrach , cad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pwll,puddle,pwll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banc,bank , river,banc , golan , bancio , amlan , afon , adnau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banc,bank , money,banc , arian , pres , manogen , golan , bancio , arianwerth , ariannach , amlan , adnau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gorfod,obligation,ymrwym , rhwymedigeiddrwydd , rhwymedigaeth , gorfodaeth , cyfrifolrwydd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gorfod,have to do something,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teimlad,feeling,teimlad , twyts , twtsh , twts , teimladeiddiwch , serchiad , greddf , ffelm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heol,street,stryd , ystrŷt , ystryd , strŷt , heol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pennod,chapter,pennod , offeiriatgor , cytben , capitl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
egwyddor,principle,egwyddor , rhesymwaith , prinsipl , prinsbal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elusen,charity,sin , elusen , cardodwaith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maint,size,maint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tafarn,pub,pyb , tafarndy , tafarn-dŷ , tafarn , pỳb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nodwedd,characteristic,nodweddiadol , gweddnod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comisiwn,commission,pwyllgoriaeth , pwyllgor , misiwn , fforddoliaeth , fforddiant , deputasiwn , cysbwyllawd , cyrch , comiti , comisiynu , comisiwn , cenhadaeth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bod,to be,bod , cydraddol , cydradd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bod,existence,bodolrwydd , bodoliad , bodolder , bodoldeb , bodolaeth , bodedig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bod,abode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cael,to have,i , ham , gorfodi , echlys , dwyn , derbyn , dehongli , dal , cymryd , creu , cael , bod , awgrymu , achosi , achos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
