,Gair,lemma,tag,pymusas,synset,lemma.1,tag.1,pymusas_1
261,gair,gair,E,['Q3'],ymadrodd,ymadrodd,B,['Q2.1']
262,gair,gair,E,['Q3'],ystyr,ystyr,E,"['X2.1', 'A11.1+', 'Q3', 'X7+']"
265,gair,gair,E,['Q3'],arwydd,arwydd,E,"['Q1.2', 'Q1.1', 'G2.1', 'I3.1', 'S9']"
267,gair,gair,E,['Q3'],dyfyniad,dyfyniad,E,"['Q2.2', 'I1.3']"
268,gair,gair,E,['Q3'],dyfyniadau,dyfyniad,E,"['Q2.2', 'I1.3']"
270,oed,oed,E,"['T3++', 'T3']",mlwydd,blwydd,E,"['T1.3', 'P1c']"
271,oed,oed,E,"['T3++', 'T3']",ddwyflwydd,dwyflwydd,Ans,['Z99']
272,oed,oed,E,"['T3++', 'T3']",ddyflwydd,ddyflwydd,unk,['Z99']
273,oed,oed,E,"['T3++', 'T3']",flwydd,blwydd,E,"['T1.3', 'P1c']"
274,oed,oed,E,"['T3++', 'T3']",dwyflwydd,dwyflwydd,Ans,['Z99']
275,oed,oed,E,"['T3++', 'T3']",dyflwydd,dyflwydd,unk,['Z99']
276,oed,oed,E,"['T3++', 'T3']",blwydd,blwydd,E,"['T1.3', 'P1c']"
277,oed,oed,E,"['T3++', 'T3']",throsodd,tros | trosi,Adf | B,['Z99']
278,oed,oed,E,"['T3++', 'T3']",deirblwydd,deirblwydd,unk,['Z99']
279,oed,oed,E,"['T3++', 'T3']",dyn,dyn,B,"['A3+', 'Z5']"
280,llywodraeth,llywodraeth,E,['G1.1c'],llywodraet,llywodraet,unk,['Z99']
282,llywodraeth,llywodraeth,E,['G1.1c'],elywodraeth,elywodraeth,unk,['Z99']
283,llywodraeth,llywodraeth,E,['G1.1c'],llywodaeth,llywodaeth,unk,['Z99']
286,llywodraeth,llywodraeth,E,['G1.1c'],uywodraeth,uywodraeth,unk,['Z99']
287,llywodraeth,llywodraeth,E,['G1.1c'],iywodraeth,iywodraeth,unk,['Z99']
288,llywodraeth,llywodraeth,E,['G1.1c'],llywodraetha,llywodraethu | llywodraethu,B | B,"['S7.1+', 'A1.7+']"
289,llywodraeth,llywodraeth,E,['G1.1c'],cynlywodraeth,cynlywodraeth,unk,['Z99']
290,gwybodaeth,gwybodaeth,E,"['X2.2+', 'S3.2/B1%']",gwybodaet,gwybodaet,unk,['Z99']
295,gwybodaeth,gwybodaeth,E,"['X2.2+', 'S3.2/B1%']",wybodaet,wybodaet,unk,['Z99']
297,gwybodaeth,gwybodaeth,E,"['X2.2+', 'S3.2/B1%']",hanwybodaeth,anwybodaeth,E,"['X9.1-', 'S1.2.4-']"
298,gwybodaeth,gwybodaeth,E,"['X2.2+', 'S3.2/B1%']",cuddwybodaeth,cuddwybodaeth,unk,['Z99']
299,gwybodaeth,gwybodaeth,E,"['X2.2+', 'S3.2/B1%']",gwybodau,gwybodau,unk,['Z99']
305,cyfle,cyfle,E,['A1.4'],cyfleodd,cyfleu,B,['Q1.1']
307,cyfle,cyfle,E,['A1.4'],gwahoddiad,gwahoddiad,E,['Q2.2']
308,cyfle,cyfle,E,['A1.4'],cyfloedd,cyfloedd,unk,['Z99']
309,cyfle,cyfle,E,['A1.4'],cyfleon,cyfleu | cyfleu | cyfle,B | B | E,['A1.4']
310,hanes,hanes,E,"['T1.1.1', 'P1/T1.1.1', 'Q2.1', 'B2']",gwylhanes,gwylhanes,unk,['Z99']
312,hanes,hanes,E,"['T1.1.1', 'P1/T1.1.1', 'Q2.1', 'B2']",hanesiol,hanesiol,unk,['Z99']
313,hanes,hanes,E,"['T1.1.1', 'P1/T1.1.1', 'Q2.1', 'B2']",hanesyddiaeth,hanesyddiaeth,unk,['Z99']
315,hanes,hanes,E,"['T1.1.1', 'P1/T1.1.1', 'Q2.1', 'B2']",morwriaeth,morwriaeth,E,['Z99']
316,hanes,hanes,E,"['T1.1.1', 'P1/T1.1.1', 'Q2.1', 'B2']",naearyddiaeth,daearyddiaeth,E,"['P1/W3', 'W3']"
317,hanes,hanes,E,"['T1.1.1', 'P1/T1.1.1', 'Q2.1', 'B2']",hynafiaethau,hynafiaethau,unk,['Z99']
319,hanes,hanes,E,"['T1.1.1', 'P1/T1.1.1', 'Q2.1', 'B2']",thraddodiadau,traddodiad,E,"['S1.1.1', 'T1.1.1', 'A6.2+']"
320,hyd,hyd,E,"['N3.7', 'T1.3', 'M4']",nes,agos,Ans,['N3.3--']
321,hyd,hyd,E,"['N3.7', 'T1.3', 'M4']",lled,lled,E,"['N3.7', 'N3.3']"
322,hyd,hyd,E,"['N3.7', 'T1.3', 'M4']",ganol,canol,E,"['M6', 'N5', 'N4', 'T1.2']"
323,hyd,hyd,E,"['N3.7', 'T1.3', 'M4']",ol,holl,Ans,['A13.2']
324,hyd,hyd,E,"['N3.7', 'T1.3', 'M4']",ben,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']"
325,hyd,hyd,E,"['N3.7', 'T1.3', 'M4']",oed,oed,E,"['T3++', 'T3']"
326,hyd,hyd,E,"['N3.7', 'T1.3', 'M4']",bryd,bryd,E,"['E6+', 'E2-', 'S8+', 'A1.3']"
327,hyd,hyd,E,"['N3.7', 'T1.3', 'M4']",dal,dal,B,['T2++']
328,hyd,hyd,E,"['N3.7', 'T1.3', 'M4']",ddiwedd,diwedd,E,['T2-']
329,hyd,hyd,E,"['N3.7', 'T1.3', 'M4']",gyd,cyd,Ans,['F1']
330,llun,llun,E,"['X2.1', 'C1']",gwener,gwenu,B,['E4.1+']
331,llun,llun,E,"['X2.1', 'C1']",mercher,mercher,unk,['Z99']
332,llun,llun,E,"['X2.1', 'C1']",ddydd,dydd,E,['T1.3']
333,llun,llun,E,"['X2.1', 'C1']",iau,ifanc,Ans,['T3--']
335,llun,llun,E,"['X2.1', 'C1']",pamae,pamae,unk,['Z99']
336,llun,llun,E,"['X2.1', 'C1']",llungwener,llungwener,unk,['Z99']
337,llun,llun,E,"['X2.1', 'C1']",mawrth,mawrth,unk,['Z99']
338,llun,llun,E,"['X2.1', 'C1']",dyddllun,dyddllun,unk,['Z99']
339,llun,llun,E,"['X2.1', 'C1']",brynhawn,prynhawn,E,['T1.3']
340,man,man,E,"['M2', 'X2.2+', 'I3.1', 'Q2.2']",fan,fan,E,['M3fn']
341,man,man,E,"['M2', 'X2.2+', 'I3.1', 'Q2.2']",lle,lle,Rha,['M6']
343,man,man,E,"['M2', 'X2.2+', 'I3.1', 'Q2.2']",reaper,reaper,unk,['Z99']
344,man,man,E,"['M2', 'X2.2+', 'I3.1', 'Q2.2']",lleoliad,lleoliad,E,['M7']
345,man,man,E,"['M2', 'X2.2+', 'I3.1', 'Q2.2']",cares,cares,unk,['Z99']
346,man,man,E,"['M2', 'X2.2+', 'I3.1', 'Q2.2']",stared,stared,unk,['Z99']
347,man,man,E,"['M2', 'X2.2+', 'I3.1', 'Q2.2']",gwan,gwan,Ans,"['S1.2.5-', 'O4.1', 'S7.1-', 'A5.1-']"
348,man,man,E,"['M2', 'X2.2+', 'I3.1', 'Q2.2']",stones,stones,unk,['Z99']
349,man,man,E,"['M2', 'X2.2+', 'I3.1', 'Q2.2']",maes,maes,E,"['K5.1', 'A1.1.1']"
350,man,man,E,"['M2', 'X2.2+', 'I3.1', 'Q2.2']",fan,fan,E,['M3fn']
351,man,man,E,"['M2', 'X2.2+', 'I3.1', 'Q2.2']",lle,lle,Rha,['M6']
353,man,man,E,"['M2', 'X2.2+', 'I3.1', 'Q2.2']",reaper,reaper,unk,['Z99']
354,man,man,E,"['M2', 'X2.2+', 'I3.1', 'Q2.2']",lleoliad,lleoliad,E,['M7']
355,man,man,E,"['M2', 'X2.2+', 'I3.1', 'Q2.2']",cares,cares,unk,['Z99']
356,man,man,E,"['M2', 'X2.2+', 'I3.1', 'Q2.2']",stared,stared,unk,['Z99']
357,man,man,E,"['M2', 'X2.2+', 'I3.1', 'Q2.2']",gwan,gwan,Ans,"['S1.2.5-', 'O4.1', 'S7.1-', 'A5.1-']"
358,man,man,E,"['M2', 'X2.2+', 'I3.1', 'Q2.2']",stones,stones,unk,['Z99']
359,man,man,E,"['M2', 'X2.2+', 'I3.1', 'Q2.2']",maes,maes,E,"['K5.1', 'A1.1.1']"
363,diwrnod,diwrnod,E,['T1.3'],arddiwrnod,arddiwrnod,unk,['Z99']
364,diwrnod,diwrnod,E,['T1.3'],dwrnod,dwrnod,unk,['Z99']
365,diwrnod,diwrnod,E,['T1.3'],ddiwrnode,ddiwrnode,unk,['Z99']
366,diwrnod,diwrnod,E,['T1.3'],diwrnodyllyfr,diwrnodyllyfr,unk,['Z99']
