,Gair,lemma,tag,pymusas,synset,lemma.1,tag.1,pymusas_1
168,pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",cochla,cochli | cochli,B | B,['B5']
169,pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",rheso,rheso,unk,['Z99']
170,lle,lle,Rha,['M6'],ond,ond,Cys,['Z5']
171,lle,lle,Rha,['M6'],ger,ger,Ar,['Z5']
172,lle,lle,Rha,['M6'],Buncton,Buncton,E,['Z99']
173,lle,lle,Rha,['M6'],mewn,mewn,Ar,['Z5']
174,lle,lle,Rha,['M6'],Belgravia,Belgravia,E,['Z99']
175,lle,lle,Rha,['M6'],ble,ble,Rha,['M6']
176,lle,lle,Rha,['M6'],Clayesmore,Clayesmore,E,['Z99']
177,lle,lle,Rha,['M6'],Llynedd,llynedd,Adf,['Z99']
178,lle,lle,Rha,['M6'],ceir,car,E,['M3fn']
179,lle,lle,Rha,['M6'],yno,yno,Adf,"['M6', 'T1.2']"
180,mis,mis,E,['T1.3'],Mai,Mai,E,['T1.3']
181,mis,mis,E,['T1.3'],Medi,Medi,E,['T1.3']
182,mis,mis,E,['T1.3'],Hydref,Hydref,E,['T1.3']
183,mis,mis,E,['T1.3'],Mehefin,Mehefin,E,['T1.3']
184,mis,mis,E,['T1.3'],Ebrill,Ebrill,E,['T1.3']
185,mis,mis,E,['T1.3'],Awst,Awst,E,['T1.3']
186,mis,mis,E,['T1.3'],Mawrth,Mawrth,E,"['Z3c', 'Z1/W1', 'S9/T1.1.1@']"
187,mis,mis,E,['T1.3'],Tachwedd,Tachwedd,E,['T1.3']
188,mis,mis,E,['T1.3'],flwyddyn,blwyddyn,E,"['T1.3', 'P1c']"
189,mis,mis,E,['T1.3'],Gorffennaf,Gorffennaf,E,['T1.3']
190,tro,tro,E,"['M2', 'M1', 'O4.4', 'A1.1.1', 'A2.1+', 'O4.2-']",cyntaf,un,Rhi,"['N4', 'P1@']"
191,tro,tro,E,"['M2', 'M1', 'O4.4', 'A1.1.1', 'A2.1+', 'O4.2-']",ers,ers,Ar,['N4']
192,tro,tro,E,"['M2', 'M1', 'O4.4', 'A1.1.1', 'A2.1+', 'O4.2-']",erioed,erioed,Adf,['T1/Z6']
