word,sense,synset
llyfr,book,cyfrol
llyfr,book,stori
llyfr,book,cyhoeddiad
llyfr,book,ffuglen
llyfr,book,gwerslyfr
llyfr,book,tudalennau
llyfr,book,copi
llyfr,book,cylchgrawn
llyfr,book,testun
llyfr,book,darllen
llyfr,book,llyfryn
llyfr,book,pamffled
llyfr,book,llyfr testun
llyfr,book,traethawd
llyfr,book,stori fer
llyfr,book,llyfr gweddi
llyfr,book,argraffiad
llyfr,book,ysgrifen
llyfr,book,llyfr gosod
llyfr,book,rhifyn
llyfr,book,llogi
llyfr,book,hurio
llyfr,book,llyfrgell
llyfr,book,llyfrau gleision
llyfr,book,archebu
llyfr,book,dehongli
llyfr,book,adroddiad
llyfr,book,cofnod
llyfr,book,nodyn
llyfr,book,llyfr cyfrifon
cwrs,course,rhaglen
cwrs,course,cyfeiriad
cwrs,course,cwricwlwm
cwrs,course,llwybr
cwrs,course,gyrfa
cwrs,course,rhediad
cwrs,course,cwrsio
cwrs,course,gwersi
cwrs,course,cwrs anrhydedd
cwrs,course,cwrs addysg
cwrs,course,system
cwrs,course,cwrs ôl-raddedig
cwrs,course,cynllun
cwrs,course,gwers
cwrs,course,cwrs golff
cwrs,course,astudio
cwrs,course,cwrs o fwyd
cwrs,course,polisi
cwrs,course,gradd
cwrs,course,cwrs israddedig
cwrs,course,maes astudiaeth
cwrs,course,cwrs interniaeth
cwrs,course,lle rasio
cwrs,course,cyfres
cwrs,course,astudiaeth
cwrs,course,datblygiad
cwrs,course,ehediad
cwrs,course,cwrs antur
cwrs,course,trywydd
cwrs,course,pryd
cwrs,course,ffordd
cwrs,course,cyfnod
cwrs,corrupt,llygru
cwrs,corrupt,anonest
cwrs,corrupt,diegwyddor
cwrs,corrupt,llwgr
cwrs,corrupt,llygredig
cwrs,corrupt,amhûr
cwrs,corrupt,drwg
cwrs,corrupt,twyllordus
cwrs,corrupt,amhur
cwrs,corrupt,dirywiedig
cwrs,corrupt,difetha
cwrs,corrupt,pyrdu
cwrs,corrupt,madru
cwrs,corrupt,twyllodrus
cwrs,corrupt,pydredig
cwrs,corrupt,pwdr
cwrs,corrupt,aflan
cwrs,corrupt,braenu
cwrs,corrupt,halogi
cwrs,corrupt,braenllyd
cwrs,corrupt,anfoesegol
cwrs,corrupt,camarweiniol
cwrs,corrupt,madreddog
cwrs,corrupt,amheus
cwrs,corrupt,caled
cwrs,corrupt,garw
cwrs,corrupt,anonestrwydd
rhaglen,programme,amserlen
rhaglen,programme,rhaglen deledu
